id	gender	category	type	colors
1	Women	Tops	Shirts	red, blue, pink
2	Women	Tops	Shirts	blue
3	Women	Tops	Shirts	pink
4	Women	Tops	Shirts	teal
5	Women	Tops	Shirts	turquoise, green, aquamarine
6	Women	Tops	Shirts	maroon, purple, puce
7	Women	Tops	Shirts	orange, puce, red
8	Women	Tops	Shirts	goldenrod
9	Women	Tops	Shirts	mauv
10	Women	Tops	Shirts	yellow, crimson
11	Women	Tops	Shirts	indigo
12	Women	Tops	Shirts	indigo
13	Women	Tops	Shirts	indigo
14	Women	Tops	Shirts	teal, pink, blue
15	Women	Tops	Shirts	blue, orange, indigo
16	Women	Tops	Shirts	crimson, indigo, blue
17	Women	Tops	Shirts	pink, crimson, yellow
18	Women	Tops	Shirts	puce, orange, yellow
19	Women	Tops	Shirts	mauv
20	Women	Tops	Shirts	yellow, crimson
21	Women	Tops	Shirts	indigo
22	Women	Tops	Shirts	yellow, crimson
23	Women	Tops	Shirts	indigo
24	Women	Tops	Shirts	pink
25	Women	Tops	Shirts	pink
26	Women	Bottoms	Pants	red, blue, pink
27	Women	Bottoms	Pants	blue
28	Women	Bottoms	Pants	pink
29	Women	Bottoms	Pants	teal
30	Women	Bottoms	Pants	turquoise, green, aquamarine
31	Women	Bottoms	Pants	maroon, purple, puce
32	Women	Bottoms	Pants	orange, puce, red
33	Women	Bottoms	Pants	goldenrod
34	Women	Bottoms	Pants	mauv
35	Women	Bottoms	Pants	yellow, crimson
36	Women	Bottoms	Pants	indigo
37	Women	Bottoms	Pants	indigo
38	Women	Bottoms	Pants	indigo
39	Women	Bottoms	Pants	teal, pink, blue
40	Women	Bottoms	Pants	blue, orange, indigo
41	Women	Bottoms	Pants	crimson, indigo, blue
42	Women	Bottoms	Pants	pink, crimson, yellow
43	Women	Bottoms	Pants	puce, orange, yellow
44	Women	Bottoms	Pants	mauv
45	Women	Bottoms	Pants	yellow, crimson
46	Women	Bottoms	Pants	indigo
47	Women	Bottoms	Pants	yellow, crimson
48	Women	Bottoms	Pants	indigo
49	Women	Bottoms	Pants	pink
50	Men	Tops	Shirts	pink
51	Men	Tops	Shirts	red, blue, pink
52	Men	Tops	Shirts	blue
53	Men	Tops	Shirts	pink
54	Men	Tops	Shirts	teal
55	Men	Tops	Shirts	turquoise, green, aquamarine
56	Men	Tops	Shirts	maroon, purple, puce
57	Men	Tops	Shirts	orange, puce, red
58	Men	Tops	Shirts	goldenrod
59	Men	Tops	Shirts	mauv
60	Men	Tops	Shirts	yellow, crimson
61	Men	Tops	Shirts	indigo
62	Men	Tops	Shirts	indigo
63	Men	Tops	Shirts	indigo
64	Men	Tops	Shirts	teal, pink, blue
65	Men	Tops	Shirts	blue, orange, indigo
66	Men	Tops	Shirts	crimson, indigo, blue
67	Men	Tops	Shirts	pink, crimson, yellow
68	Men	Tops	Shirts	puce, orange, yellow
69	Men	Tops	Shirts	mauv
70	Men	Tops	Shirts	yellow, crimson
71	Men	Tops	Shirts	indigo
72	Men	Tops	Shirts	yellow, crimson
73	Men	Tops	Shirts	indigo
74	Men	Tops	Shirts	pink
75	Men	Tops	Shirts	pink
76	Men	Bottoms	Pants	red, blue, pink
77	Men	Bottoms	Pants	blue
78	Men	Bottoms	Pants	pink
79	Men	Bottoms	Pants	teal
80	Men	Bottoms	Pants	turquoise, green, aquamarine
81	Men	Bottoms	Pants	maroon, purple, puce
82	Men	Bottoms	Pants	orange, puce, red
83	Men	Bottoms	Pants	goldenrod
84	Men	Bottoms	Pants	mauv
85	Men	Bottoms	Pants	yellow, crimson
86	Men	Bottoms	Pants	indigo
87	Men	Bottoms	Pants	indigo
88	Men	Bottoms	Pants	indigo
89	Men	Bottoms	Pants	teal, pink, blue
90	Men	Bottoms	Pants	blue, orange, indigo
91	Men	Bottoms	Pants	crimson, indigo, blue
92	Men	Bottoms	Pants	pink, crimson, yellow
93	Men	Bottoms	Pants	puce, orange, yellow
94	Men	Bottoms	Pants	mauv
95	Men	Bottoms	Pants	yellow, crimson
96	Men	Bottoms	Pants	indigo
97	Men	Bottoms	Pants	yellow, crimson
98	Men	Bottoms	Pants	indigo
99	Men	Bottoms	Pants	pink
100	Men	Bottoms	Pants	pink
